,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023
TOTAL,18312456.325,16531140.991,19284173.077,19528763.016,21814996.658,22296827.646,21838669.783,22738800.526,21286167.734,20386534.952,18728073.381,18744290.745,19308022.36,18101256.185,21209212.066,21338971.949,23229078.45,23476260.442,23421389.869,24405378.604,22621766.139,21539044.297,19658014.755,18523997.148,19864919.406,18923771.619,21381293.338,21053860.091,23977892.355,23934998.619,23433441.677,24447819.467,22511922.467,21958856.417,19556074.468,19452982.202,19778173.753,18530377.713,20330378.187,21728923.566,23216534.994,23737893.671,23727307.62,24520036.877,22097893.46,21712529.235,19385535.539,19094522.403,19155014.955,18415304.038,21294727.987,21365300.462,23056256.336,23950644.999,24098958.122,24358486.807,22387179.584,22050810.295,19062741.046,19060349.69,19424558.089,18128966.279,20771248.057,21653903.161,23199865.074,23427437.403,24216085.514,25151024.403,23625524.203,22541954.906,19559958.093,19109053.002,18928431.799097,18649019.699825,20902198.662814,22241534.379298,24226008.232983,24374455.51172,24879650.060365,24483842.019524,22911710.78692,22159238.234865,19278550.487999,18699761.565745,18934350.337175,17874825.075718,20894857.586382,21124216.775235,23893683.756123,24354523.732481,23687641.516868,24764988.532229,22381106.705433,21689612.184528,19486491.925816,18330948.148173,18819184.608138,18402846.882354,20942746.163639,21246890.391071,24147864.0102,24350220.536851,24597923.624658,24751272.10333,22694188.612079,21508538.957085,19376021.860136,17847094.704415,18227422.327179,18204025.89616,20248229.647252,20282214.025926,23332850.91276,23511318.493576,24011948.285208,24960826.447261,22060471.452799,20674652.368318,17785278.452768,17095334.030728,17658364.196722,16845538.217289,19151628.621704,17119535.620597,18669410.537808,19912470.133288,21323040.1002,22210538.878303,20024508.026554,19567687.264654,16591101.922332,15499676.348772,15690027.527125,15628088.825612,17290102.787603,18373046.646864,20518504.811901,21509554.707713,21005836.39974,21370262.265908,20543680.404074,19540509.091778,15898538.762474,16795331.883872,17240848.35827,16242572.646365,18353106.507466,19712912.560534,22796557,22285167,22872447,22790295,20833774,19664377,17584602,17716411,N/D
Baja California,873193.999,793243.355,871591.088,785727.001,870490.271,1018504.823,1210946.175,1214077.891,1084907.635,940333.298,865317.36,866979.811,866958.701,791695.35,869045.354,821249.244,894858.889,1024233.359,1245806.02,1309745.01,1114674.112,944890.923,859450.862,865826.2,871969.673,836216.079,883788.375,863017.96,1019960.954,1127504.58,1220960.52,1295617.4,1185515.569,988289.32,854114.858,846762.114,863321.265,764320.461,904909.251,917783.837,996449.072,1185100.284,1324097.119,1293681.368,1157205.892,944845.517,852777.997,883771.639,907941.756,811641.005,888584.015,890763.824,1014564.89,1173598.469,1350004.285,1317867.124,1234712.844,1005710.267,873184.215,897789.32,901812.098,828750.999,953253.733,924415.741,957720.713,1175317.8,1303651.949,1423024.316,1272997.265,1109327.564,929464.033,894666.721,917113.689477,836340.679738,933855.982072,940983.742005,1014055.18638,1257774.9717,1321803.917242,1303752.211924,1101895.306192,1048543.619881,908089.851397,865976.764567,878507.075062,804441.399742,943976.123889,963257.527351,1004699.6292,1122626.557,1331424.9164,1345083.600641,1073796.429212,912368.056052,841532.699002,776884.358769,798516.396815,709286.218696,790740.263075,886051.525286,1001921.817422,1184829.394761,1360409.586036,1368931.833731,1235033.33383,937370.952184,827773.870836,859552.89958,893326.855684,811829.777885,919450.329,863774.201003,923567.858444,1135238.167523,1305504.937524,1322638.488192,1162080.047069,916528.552894,789729.982118,849414.521295,927680.570957,795614.093647,811570.669573,751511.296659,1005051.701193,1067760.458112,1212355.22362,1244549.694588,1083158.519688,1104939.6178,803792.403271,841860.260118,848837.620232,805857.10204,862664.223242,996947.06967,1014972.860807,1103304.345128,1246602.740739,1149805.212702,1020363.399285,995425.633919,889775.110548,934548.849538,932553.117052,823069.594639,913229.731996,899580.42511,1024678,1215040,1319256,1304581,1191607,1129791,901370,1053420,N/D
Baja California Sur,146750.596,134343.163,154825.632,157132.166,174237.376,182505.867,206635.308,233762.06,219483.111,194422.821,164254.371,166318.36,154103.14,140202.702,164280.054,163377.749,180132.973,191166.463,223292.798,243157.998,233711.965,221866.998,169904.286,163641.451,161856.317,150125.598,167825.559,169573.184,188909.457,196685.126,228508.028,241639.005,207281.042,186944.422,204030.718,175376.944,161252.549,150951.482,175222.79,174260.859,193889.293,208427.692,241711.524,257083.717,228747.802,217358.494,183480.076,174861.56,170792.828,159641.735,183328.568,183120.045,213702.176,240671.357,263718.512,264748.424,162760.782,164866.115,125861.119,148506.926,158986.32,150295.975,168998.599,178077.118,194203.53,209146.557,223721.946,238921.315,221090.183,213900.955,194722.745,180784.439,170517.523,171097.81,187580.565,180167.479,200321.641,210223.671,253598.224,256515.067,230269.249,239031.225,211831.773,187101.44224,176185.7514,159924.0947,190466.24364,193766.4634,202423.19466,206226.42347,240072.11872,262663.24732,209833.31302,230752.5409,195316.51904,175690.38786,179556.98319,165481.59966,192676.78327,189731.93226,217513.12635,217502.57186,282343.42874,275935.23415,257582.07821,227834.23787,193356.04632,184939.52315,184634.57674,165632.80877,186090.69346,187815.74816,183458.03219,220641.45239,262401.76997,271288.10922,246440.3261,225886.32829,190042.3982,183381.99553,187335.68914,179254.64076,187446.516279,157338.363117,174782.939197,197261.499794,256477.93745,267551.582856,264331.400259,240552.926005,179821.60521,159818.566443,169992.749097,149549.681392,173976.168041,174852.555374,197509.441079,212683.524366,310343.867058,287110.198609,254727.013994,253112.350185,202347.657034,199121.117215,185662.40085,159736.606125,173419.545456,178626.090971,207085,240433,295329,297241,251120,232025,171131,171892,N/D
Campeche,165070.194,159231.859,169055.224,202966.83,237341.914,212726.927,226199.746,222366.315,128234.18,104712.091,97295.61,45065.619,144713.145,137637.704,105959.472,177393.252,178135.94,148346.417,136103.925,196759.053,153651.619,138341.443,110075.421,50540.935,114071.784,134656.41,174458.866,138946.821,84144.343,108983.59,83311.735,160767.789,134726.511,139858.604,138781.01,111085.502,134351.708,127446.949,137532.278,121773.917,128541.228,83863.675,150221.059,173353.648,124556.849,119268.713,94494.087,66363.404,61653.229,141737.084,113130.863,69498.979,113475.218,119097.491,82578.568,123392.963,93980.73,131669.927,121452.723,107010.031,106084.167,126493.799,93508.683,68048.134,58245.751,31921.932,56132.9,98897.215,46199.087,89638.881,97919.351,74282.826,57703.61994,158574.849097,103553.035117,86714.048195,80414.662433,144527.69753,180563.169885,89180.452521,54361.619,99314.56855,57524.958429,103659.341676,60408.120828,47572.345849,87758.334213,100213.498965,82409.628461,71751.5759,44429.644,66191.283983,76427.762771,40254.155439,25063.440741,15130.606399,14585.531523,20219.556759,48815.635975,48757.76512,115453.964823,103493.832007,125343.289496,118925.326699,98159.489259,114163.674006,131203.447597,54008.435519,24074.821895,83970.277246,88197.824308,129693.709129,118094.351189,111886.073652,98557.889808,111007.910319,113742.075801,41792.422638,82111.830981,122744.794753,115084.064095,33934.815554,36404.821911,50799.976153,48810.90122,10459.69375,2982.228994,9142.079049,11248.795339,18153.472059,24308.426219,4134.364059,4425.525688,46720.081104,7129.477857,66857.802211,103847.18417,116746.43659,65554.622067,53960.92212,44375.32308,76201.684363,5606.739,424.821,3078.548804,18988.020908,28458.881328,23756.687607,85091,26882,35036,30060,23501,39264,35544,15143,N/D
Chiapas,393936.779,330771.702,554123.915,518394.935,626160.759,1013767.752,1730302.593,1908452.973,3060212.399,2640421.729,1955462.81,1152525.351,1297907.446,1228597.54,1366037.324,1505204.804,1534464.4,1432121.691,1418579.056,1721299.675,2078389.827,2131434.542,1831630.992,1582352.215,1576934.847,1561327.224,1624910.748,1628827.831,1901932.203,1659527.949,1310406.813,1708454.066,1181108.88,1035099.634,776165.092,833669.669,374511.618,468089.806,605348.016,946122.89,857281.592,955687.859,1181951.754,1199763.438,1428162.185,1537339.371,1181414.585,1104266.709,1472591.931,1715060.964,1855700.359,1713997.23,1592531.459,1853039.124,2189779.71,1637824.032,1067880.212,856981.567,945609.412,1053594.812,856288.588,918142.978,1137464.094,1651102.681,1929704.746,1348077.313,698033.11,610782.275,766638.783,559654.937,432807.762,443460.637,461256.522,740950.566,1148531.309,1395016.837,1523073.367,1156368.662,1034308.282,1164388.095,816999.865,464756.174,230049.237,304917.137,278500.123,537263.786,724285.651,1031005.109,1628753.191,1724404.97,974821.135,960859.589,915951.341,768962.133,897493.636,505632.417,638792.114,683343.425,997672.603,1288227.359,2030324.266,2019672.694,1360502.94,992697.483,567554.718,492031.3,312055.74,261646.828,248989.121,302976.485,275280.888,575252.113,1054976.33,910082.126,958078.085,964048.66,605698.627,504046.586,382494.548,296458.416,319708.123,281260.574,404804.595,641099.54029,1076454.35678,1171340.566,1444609.954,1295927.313,939614.037,784577.283,672903.64,812828.737,1128996.797,1071017.687,1429136.343,1756327.116,1738744.044,1416046.827,1212708.043,963165.507,838557.881,813973.789,789574.353,687608.878,584004.969,487862.651,815168.077,1081043.379,1713078,1965197,1231432,1718993,1508031,1846032,1752250,1041587,N/D
Chihuahua,926725.256,885948.43,966311.298,978489.597,1148343.765,1155269.223,1142555.71,1157667.101,994337.862,911142.465,897179.154,957928.163,1010929.883,730170.953,999437.196,968431.086,1239911.761,1214714.529,1218409.383,1243086.758,1163450.103,1176235.173,1070588.546,1013057.297,1022242.998,1024222.307,1084942.059,974294.372,1207634.962,1300654.414,1295898.339,1357951.801,1253782.561,1142112.505,826178.916,910691.977,991904.208,941785.592,1092336.27,1263408.181,1310785.241,1296313.947,1185471.985,1349968.078,1163382.508,1160406.2,1023831.817,1070151.007,1129576.982,983699.95,1150045.543,1324228.796,1383135.688,1471147.955,1470233.614,1470764.704,1415442.279,1321734.946,1202185.715,1189131.251,1112294.224,1129658.769,1198330.109,1208140.905,1359204.237,1464469.622,1459525.903,1558308.45,1373544.814,1190041.818,1153669.755,1221092.22,1198181.537372,1191440.038342,1181950.869751,1345321.884352,1510104.233515,1468679.8005,1487175.522778,1429456.55626,1407627.861501,1399090.966238,1239988.301598,1200454.225791,1184810.367176,1052353.970757,1324850.592824,1277362.978543,1315710.851332,1255501.1638,1331552.8223,1125714.300751,1135245.608214,1128838.937227,1188864.985178,1100757.055467,1132042.050021,1059461.18852,1237840.646437,1153436.744094,1203189.832724,1378512.507878,1415904.329882,1382632.854723,1406243.709094,1380250.824485,1154988.622253,1154156.877759,1273128.128546,1268835.748102,1336644.939262,1405163.5316,1610887.768141,1524658.309324,1526418.014847,1559334.079213,1290788.855605,1283517.302283,1107509.408194,1110520.436994,1266605.296125,1160487.735467,1290328.413777,1233068.698806,1238463.09141,1677132.201284,1810433.962568,1922075.712778,1693575.632623,1459612.439607,1117161.108203,1080675.918459,972732.556206,829528.37098,1242507.295555,1399797.869516,1509162.726442,1770459.917834,1669594.12179,1646158.317102,1534688.433004,1200982.972281,1141446.247935,1249787.493853,1281856.454752,1023927.220207,1405285.225555,1619478.003806,1804199,1879128,1913086,1746887,1602990,1367719,1158350,1300755,N/D
Coahuila,1738171.281,1756235.316,1670101.867,1301843.172,1390632.097,1642775.123,1383083.705,1803653.678,1542074.705,1281725.144,1215974.854,1379314.305,1536821.997,1530724.299,1765998.207,1651307.876,1759788.954,1898471.862,1921182.944,1979987.983,1697538.728,1621356.359,1441837.574,1408790.548,1365760.437,1509296.453,1567606.049,1700824.327,1723892.768,1893095.492,1892681.266,1906054.405,1713261.759,1655067.174,1398386.288,1343215.058,1556520.994,1368546.124,1494127.482,1480223.18,1489044.341,1647768.281,1802681.627,1891082.585,1464469.356,1373884.84,1192906.155,1252867.354,1385879.362,1454898.078,1712536.611,1731093.906,1853931.042,1819676.895,1876629.934,1909714.007,1550112.646,1338913.569,1346976.355,1308768.089,1479668.222,1415858.827,1517123.253,1568551.236,1480457.466,1561122.62,1614261.626,1701393.086,1836328.5,1860639.095,1616520.691,1533649.371,1607642.009631,1592612.465466,1690441.07692,1479728.204372,1820006.713517,1768579.362,1672331.996157,1570641.197399,1318578.3301,1320306.982622,1218084.20909,1203447.979273,1308939.990339,1178079.327481,1064477.669893,1299937.635715,1393936.843839,1354658.2204,1374500.1971,1322494.881696,1163051.633917,1106946.6204,910481.503226,950036.477458,1169983.399354,994363.904895,1167490.484846,1206656.601962,1188704.8645,1244334.744849,1366277.871629,1502001.522721,1259176.012952,1186840.506125,1028353.415461,698146.916428,571664.093326,920905.232298,978818.522927,919149.108348,1013518.974694,961353.201492,1079278.272942,1185057.264435,1039462.760835,687371.849522,617759.853275,615818.92616,525622.934025,479436.888233,617120.366385,569158.315,548735.531908,533911.452708,444648.78903,321256.53924,347712.459671,463968.662119,668949.210701,779034.265709,726500.414199,547251.355316,470952.149963,410158.126741,388031.698399,589514.962741,395901.948546,402763.088704,370290.47014,613363.075484,416072.193641,378765.430502,515303.397275,490494.446786,477148.552761,511701.358742,456007,466549,555664,553692,388335,396877,368642,315654,N/D
Colima,587356.354,282798.374,509177.18,638273.523,650745.031,753977.447,507817.658,384630.911,397717.762,415330.438,359945.869,383002.043,346737.519,368742.916,547866.513,696973.559,831228.337,787038.393,712467.917,807366.804,730976.886,746220.18,566805.39,506945.256,638525.395,527984.669,682343.148,750692.361,1225336.481,865049.257,913252.946,998054.851,969215.627,951933.977,776466.612,570504.197,551447.044,786254.91,996785.06,1040993.554,1142100.574,1024379.148,948026.259,1008296.101,1297543.663,923668.153,831534.432,887057.53,1048544.765,1142942.306,1057915.924,1238811.063,1126452.124,1174154.349,1042173.743,1050343.819,844271.758,1259696.765,752760.388,782359.199,946697.658,1159523.212,1461438.116,1045911.391,1035703.491,1017445.009,1018145.009,1286811.449,1231961.242,1167975.884,1210511.746,1401818.211,1280688.351,872516.549,1437263.534,1439235.534,1327720.098,1155726.251,1120479.23,1018170.068,922453.523,1046984.221,862053.217,945278.312,958987.933,931150.804,928705.801,989342.686,1417789.699,1376754.444,1530456.724,1602946.664,1384023.725,1135263.113,1053458.451,1156388.281,971449.669,1016655.465,1145735.053,1308135.346,1490235.437,1598642.948,1367329.583,1710041.79,1351171.738,1091448.967,1020245.796,963256.425,1032744.674,1183987.048,1255189.717,1490924.654,1577876.544,1530282.924,1417516.746,1628048.071,1231914.736,1316499.725,857907.938,1043858.133,894754.513,945938.3,837492.515,814761.505,936672.491,977603.755102,842896.491243,1189446.703,888252.048,729866.457,619698.91771,660463.21846,729132.015932,578359.681693,641045.60261,640343.9308,916546.097,923581.6223,864282.06823,840225.7412,751354.885131,521504.099262,502470.95963,851403.810076,571400.78524,336453.6194,378995.77499,814940.564199,847410,733741,653675,620764,352472,553138,565530,788393,N/D
Ciudad de México,50609.438,27623.11,42435.623,65171.073,71399.84,72279.797,57187.817,44652.299,34207.22,52605.716,65372,70352.507,75289.949,63079.531,71965.293,68131,80836,71999.029,71851,72879.628,55123,73366.272,75333,76701.629,78258.37,68315.6,83412,81395,98209.85,102448.2,96624,90711.13,43049.153,64947.325,70949,66752,58593,46751,65238,90910,89606.12,92959.847,86793.486,104556.798,40286,58021.099,38094,26676,34935.151,16576.731,18893,26969,35979.54,34996.174,34474.495,39527.015,29174.832,41291,43807,39960.309,41683,39028,45186,74101,86667.406,108033,95355,96712,51713.81,41173,24648,15586,15165,18421.109,20729.187,17506.309,21078.186,25806,99828,105140,79511,76582.6,41016.2,49262.41469,49810.5,44962.8,58329.2,68896.116,93150.33,93191.07355,75571.6,98100.8,62145.4,69524.06,59401.4,41653.2,37564.1972,62121.1,85865.4,83200.56,96104.5,95912.8,79798.85622,98176.44738,90793.95783,98914.16001,93299.73639,82334.45923,87548.53439,82371.8176,72032.94951,66704.45111,83200.799253,72870.697484,80120.441789,103422.34344,79879.362893,81876.103023,41395.157559,22812.033132,24684.752704,16609.502022,20637.032534,6105.64518,4420.415014,11407.104046,3854.71599,6300.12472,11422.73124,17248.2831,12142.37551,15836.042868,24216.62374,50263.01774,16772.30201,21931.40584,4626.54676,1855.47309,2700.43723,15609.1128,15899.5351,35136.46618,8843.81897,13792.45174,29643.65825,10231.44318,18528.82509,26777.000636,22811,9314,17519,17216,10141,17884,32356,7793,N/D
Durango,457102.041,468282.916,534456.464,606067.976,664769.4,704135.012,712257.658,776795.417,699597.719,736245.629,763064.809,755943.986,568842.687,684287.767,864180.19,906230.311,749136.64,861845.763,864742.748,839693.203,821134.7,745331.846,695233.505,736901.286,737558.627,746827.144,718102.334,634386.735,756259.763,800185.732,819612.171,841865.497,684191.459,557618.116,661085.842,730893.87,741313.621,779220.696,807219.616,576077.216,772915.791,892308.481,878333.765,903774.466,763129.067,715438.23,635833.015,665944.264,540726.683,620568.581,748158.214,758603.102,840041.281,827458.721,833928.357,860770.93,820488.527,686955.013,749813.451,743869.002,740492.279,687041.605,768952.032,678870.858,725510.136,866788.635,817017.745,869476.678,877517.971,846582.641,713538.127,694518.316,673365.911682,655636.244064,722864.516094,585351.918419,766963.125969,746220.9472,842048.172614,708912.391134,787445.708662,783046.110354,732006.255785,707636.87351,598427.371718,633799.080015,852421.719361,762959.329672,816782.430604,839183.5152,829255.77,859977.924619,806750.352716,722701.936069,673676.963408,685291.887217,650354.462251,642070.876769,695709.553862,725648.393467,813276.946065,836322.103805,893222.396913,927991.721051,870570.441439,742444.148886,711100.334625,898235.636095,1005801.424755,954247.211929,1226447.49475,982461.938649,1375330.131965,1260556.526569,1288504.517383,1085186.397489,984727.227175,1053440.64235,1003010.440054,1120174.136536,962628.247374,1150565.300746,1162330.98429,1096185.130137,1199294.716565,1289231.492514,1123500.439757,1365617.585208,1329994.239291,1337142.447173,1099611.327781,1030096.454,602671.446276,599552.635626,610483.317396,595460.382177,667937.066966,752210.237163,703428.514806,667923.593537,587405.561925,637209.280866,596020.170553,616228.096872,1072017.620561,1048297.730836,1017449.265206,957401.143715,1088776,1116626,1289847,1202179,967608,640091,655645,1102806,N/D
Estado de México,637860.423,579018.421,606767.559,544385.738,631715.024,594384.611,550772.902,588654.723,507760.984,401430.527,591984.703,636200.3,667525.806,644441.949,654067.477,612942.932,653282.489,616673.799,657731.961,503161.575,344068.807,460299.921,413662.21,334410.502,397285.09,426511.898,370981.485,362650.308,368129.58,429466.873,520076.071,564430.379,602518.857,604172.434,549252.675,570030.096,643488.584,588338.738,597707.436,625901.779,678085.053,644917.501,578858.654,565927.632,482956.332,484489.711,482479.843,408385.922,441916.365,390225.537,473732.778,539220.706,552736.321,460605.162,423193.477,536690.615,535562.636,606138.089,582682.267,572810.632,551641.759,499741.138,519518.965,410048.347,591687.408,587423.539,676649.129,622567.085,591329.268,610134.562,610423.587,606538.977,602557.86,544055.264,549708.661,350020.782,531826.65,600108.8,653972.448,586204.534,536818.513,519123.508,446750.794,443654.06466,398359.238,459395.337,402237.596,355104.463,410991.601,520004.87457,538502.344,663644.237,546914.728,575896.74,607628.846,605510.76,525520.919,486276.963,483538.249,434074.137,558203.149,343539.65,590221.361833,451514.10317,610279.939217,548785.1141,362059.70092,306593.469233,677339.965276,583447.517295,635368.049313,626925.33648,732812.297598,809152.884065,743661.748623,753212.577927,717036.483645,650316.815759,645034.07089,680447.852363,704446.898533,353636.398365,761166.057252,590730.244174,646928.043904,610564.2827,671187.709216,643634.882903,713401.228424,654829.979441,626437.01077,682541.415371,652576.320917,597748.444047,718059.02405,654735.858005,694039.764237,758807.334026,648942.517521,655440.693165,626329.746945,621042.801098,529885.21377,606437.607276,649868.34123,588197.62923,684130.782958,620658.786001,351424,275475,284692,634984,628464,568189,629284,564314,N/D
Guanajuato,350427.435,313440.017,353467.326,343871.477,471410.524,497361.624,350751.781,374689.789,330616.17,381931.668,342288.59,469698.005,508964.078,408925.611,409490.143,341414.029,451688.952,425180.45,376554.013,493419.845,468746.234,498792.724,417353.027,376865.788,445347.671,343496.041,340532.069,469166.992,562076.856,461797.976,524207.613,575995.023,521650.766,557787.911,555066.507,516979.507,409332.532,472985.946,461997.429,503188.884,566005.229,542046.035,520076.976,657690.62,502780.013,535042.429,658612.702,613869.269,632969.158,508946.386,537817.973,526591.956,582354.152,491351.76,369742.799,581820.889,577789.525,569870.154,490736.979,541703.184,493445.085,161968.938,248484.139,521155.225,488172.731,577142.159,605214.405,480929.038,446174.913,486176.166,472389.901,574296.422,559335.673865,443455.389557,378361.922604,500115.459623,439109.597595,601149.1018,764795.104368,757646.785632,741196.925758,655414.858846,575937.790757,542232.847378,438488.221652,486031.587862,585295.072656,662267.732389,770577.84112,785690.6491,812845.4895,870033.730127,691345.202551,741018.836238,661737.514185,640500.971174,656734.085997,490077.026817,660914.570202,697533.948087,665289.505619,781557.923995,840991.141717,799599.93969,822962.251719,802874.886349,799560.694254,798772.663659,1511754.557,1475742.589,1351174.353,1035500.863,1046981.188,1229622.147,1643672.577,1836280.496,1438369.78,1309941.997,788608.058,776039.232,919186.791577,970806.409539,895201.225176,611594.539951,714144.905439,846918.943517,965834.126482,797205.642664,953079.458174,724373.126719,477138.00953,205697.070352,567405.354355,591506.038992,465339.764731,716666.381748,998891.629443,751748.811519,1041164.687602,713897.511038,1197698.172178,823786.946677,533525.156187,825494.383158,800318.085348,1002109.654369,1103967.30744,1102193.037651,744825,696492,657156,637671,633378,644096,489523,594830,N/D
Guerrero,1410860.84,1477047.025,1915056.381,1796259.519,1949813.216,1729173.83,1810785.661,2120546.643,2052670.072,1731064.887,1528786.263,1674920.121,2041907.558,1497092.055,1684529.131,1688658.841,1676090.26,1633831.91,1757235.324,1874444.66,1965546.239,1550459.586,1607794.724,1414073.781,1366971.285,1314263.135,1574834.982,1641403.957,1787321.676,1607499.883,1669073.906,1889877.765,2159396.853,2256496.37,1664238.172,1567332.92,1257933.834,1213416.01,1469570.858,1727344.4,1786123.238,1864280.935,2016329.068,1728620.816,2016081.504,1979103.55,1835392.489,1584585.323,1278655.817,1414833.824,1652926.853,1516537.786,1869311.656,2121490.822,2291491.535,2149865.123,1714628.784,2171656.992,1598922.572,1676571.363,1597016.186,1001651.525,1580263.192,2192293.109,2188501.689,2128715.615,1941578.129,1829417.865,1680071.883,1568562.128,1090779.564,1169240.824,1296529.009,1712707.743,2077824.121,2104325.214,2075072.247,1873986.03,2147054.921,2200757.77,1876263.143,1677299.145,1413630.133,1473659.727,1557059.508,1443447.835,1621316.466,1498417.775,1521217.619,1725733.664,2005828.949,2072775.76,1947474.964,1810632.943,1481206.366,1127857.789,1176989.22,1320834.661,1866374.824,1625766.872,1909984.113,1854552.107,1394969.274,1740368.094,1562596.334,1529627.038,1411722.294,1237094.202,933359.942,928918.346,954699.206,901799.686,1058983.335,976392.383,1087854.497,1147239.362,966455.375,720998.851,666135.258,581360.066,695866.513,637562.066,918126.724,811900.655,678423.404,1015651.705,1013730.087,1085911.36,1024672.817,947241.857,912120.71,722022.263,910173.745,838652.227,944891.459,764371.039153,829278.611,998265.776,965956.349,972242.714,984347.135,950792.954,959593.828,738857.919,767321.339,736533.36,776011.998,717568.974,1268392,1103776,1270764,1231460,989024,842522,564879,896942,N/D
Hidalgo,883224.652,697207.726,827925.119,987980.34,980811.733,996254.673,737007.241,800706.922,638989.061,706634.074,804990.337,921699.939,787518.906,789356.739,1063980.176,979802.485,1036348.42,991577.778,781009.583,937066.386,976052.537,1003283.488,1097580.699,1136126.86,1158012.942,946412.131,1015379.984,979475.268,1212960.365,1122752.418,849872.311,1039239.116,866948.398,950708.895,981060.038,1178917.311,1269807.383,1132514.427,1149729.976,1254433.648,1326190.103,1293689.76,878263.334,1227004.945,663574.437,827526.613,989181.646,1025870.225,826272.857,893845.935,1079411.529,1146920.771,1145378.734,926039.794,784573.51,926312.881,1027810.62,1033975.283,925883.656,741422.311,769517.852,672034.813,693185.223,834030.48,1031136.923,994919.019,1033322.502,1120471.459,954628.221,1160315.033,1186949.092,1074118.575,1077738.299,876534.479,939375.398,955310.545,984865.169,1318959.903,1120682.661,1242021.622,1054975.539,1088669.96,944967.053,813647.401,888969.586,811820.931,791191.984,916013.518,1128615.825,1132785.892,1104921.124,967387.718,870281.983,984411.291,1013943.707,879677.539,890491.914,718140.82,783413.116,1058834.613,1115570.575,1051572.978,902379.589,942419.169,713498.554,646161.83328,777846.4454,852481.5535,37337.454,30546.652,28384.558,28812.706,30122.937,31874.7,80472.169,96386.013,60529.343,35260.168,44396.626,25502.184,42787.531855,45824.2609,19566.8621,28060.084212,38691.884889,34557.76877,75586.457051,87775.044512,71836.386675,32257.677637,17386.006306,21021.662487,23405.566698,27800.564647,29147.712356,20668.843587,20892.492256,32768.785142,85571.920841,92868.811651,95199.096809,67852.927988,16550.769809,11550.97523,26767.099215,36171.519219,12583.051737,13222.773243,941087,906928,855033,753014,693483,561580,508090,561539,N/D
Jalisco,25737,56592.94,31393.1,31393.2,25002.2,38874.08,81196.28,79601.1,77513.69,40427.94,24918.5,24251.29,35257.91,33358.92,27462.1,30944.34,29979.3,33320.89,66951.7,64976.258,47889.838,27582.481,19448.364,25318.629,23478.8,45275.429,36783.404,20961.356,17221.785,40516.852,74212.113,89397.914,74222.77,29048.857,19538.339,20679.427,32683.201,26651.68,26916.606,31079.283,28375.095,38570.138,71987.605,77366.87,97743.406,72467.407,36476.511,34677.529,45890.836,26110.024,30300.283,31112.016,32871.236,52798.908,81684.751,66892.746,65337.718,74679.055,32855.157,28452.549,26529.073,32167.084,43392.091,37233.569,32002.093,63956.54,106412.006,92422.828,93083.67,60896.835,44848.45,36687.149,27850.298,24957.369,29449.098,28261.777,37157.47,60539.149,103565.302,112169.983,89246.372,81522.993,31300.278,26666.508,26766.602,25767.438,33570.662,33278.159,35065.362,34334.69,86745.469,89715.338,101144.533,79838.196,28136.672,27359.201,30503.21,32098.178,23525.293,31369.347,43169.58,50124.529,88817.88,87043.363,101289.737,93843.53,50460.299,30015.174,307418.909,388164.09782,325611.2957,366717.9388,413269.7337,497460.14587,522591.25418,499734.8983,484607.499794,591765.5683,354651.94086,409737.09096,461850.315836,460787.916626,459954.280096,379491.95047,403150.040322,463981.849672,345665.41352,440989.92778,422559.19568,323661.49457,318352.2005,373833.473361,636001.08487,583406.16676,348773.36012,489535.67036,513829.41485,532832.107706,380782.40417,462073.70427,208950.69471,331572.30423,181269.91347,272763.69139,300871.15681,537160.38964,424463.26695,430295.655,17189,40784,79652,108464,80697,41193,35070,28583,N/D
